relative_path,action,old_head,new_head
amara_full_body_0002.txt,changed,yoyo236135Amara's left-back body (excluding her lower legs): She is turning back,dfnd-yoyo236135Amara's left-back body (excluding her lower legs): She is turning
amara_full_body_0003.txt,changed,yoyo236135Amara (excluding her knees and lower legs) standing against a white ba,dfnd-yoyo236135Amara (excluding her knees and lower legs) standing against a whi
amara_full_body_0004.txt,changed,"yoyo236135Amara is kneeling on the ground, set against a white background. Both ","dfnd-yoyo236135Amara is kneeling on the ground, set against a white background. "
amara_full_body_0009.txt,changed,"yoyo236135Amara (excluding her lower legs) is standing outdoors, with some woode","dfnd-yoyo236135Amara (excluding her lower legs) is standing outdoors, with some "
amara_full_body_0012.txt,changed,yoyo236135Amara is kneeling down on a white posidum in the middle of what looks ,dfnd-yoyo236135Amara is kneeling down on a white posidum in the middle of what l
amara_full_body_0013.txt,changed,yoyo236135Amara is standing in the middle of a street (her knees and lower legs ,dfnd-yoyo236135Amara is standing in the middle of a street (her knees and lower 
amara_full_body_0014.txt,changed,yoyo236135Amara is standing in the middle of a street in a city (her knees and l,dfnd-yoyo236135Amara is standing in the middle of a street in a city (her knees 
amara_full_body_0016.txt,changed,"yoyo236135Amara is sitting on a stone bench (lower legs not visible), her body l","dfnd-yoyo236135Amara is sitting on a stone bench (lower legs not visible), her b"
amara_full_body_0017.txt,changed,"yoyo236135Amara is on a fashion, her right hand on her waist and her left arm da","dfnd-yoyo236135Amara is on a fashion, her right hand on her waist and her left a"
amara_full_body_0020.txt,changed,yoyo236135Amara on a rooftop - She loves rooftops! Amara's hands are playing wit,dfnd-yoyo236135Amara on a rooftop - She loves rooftops! Amara's hands are playin
amara_full_body_0021.txt,changed,"yoyo236135Amara kneeling on a bed, her face tilted and turned slightly to her ri","dfnd-yoyo236135Amara kneeling on a bed, her face tilted and turned slightly to h"
amara_full_body_0024.txt,changed,"yoyo236135Amara posing in the street, her left arm tucked nicely behind her left","dfnd-yoyo236135Amara posing in the street, her left arm tucked nicely behind her"
amara_full_body_0025.txt,changed,"yoyo236135Amara standing alone on a beach, her face tilted and turned slightly t","dfnd-yoyo236135Amara standing alone on a beach, her face tilted and turned sligh"
amara_full_body_0026.txt,changed,"yoyo236135Amara sitting cross-legged on the beach, her face turned slightly to h","dfnd-yoyo236135Amara sitting cross-legged on the beach, her face turned slightly"
amara_full_body_0028.txt,changed,"yoyo236135Amara in a single-piece / one-piece red swimsuit, her large breasts bu","dfnd-yoyo236135Amara in a single-piece / one-piece red swimsuit, her large breas"
amara_full_body_0029.txt,changed,yoyo236135Amara wearing a mid-length pink nightie / dress (her knees and lower l,dfnd-yoyo236135Amara wearing a mid-length pink nightie / dress (her knees and lo
