relative_path,action,old_head,new_head
amara_full_body_0002.txt,changed,Amara's left-back body (excluding her lower legs): She is turning back to look a,236135Amara's left-back body (excluding her lower legs): She is turning back to 
amara_full_body_0003.txt,changed,"Amara (excluding her knees and lower legs) standing against a white background, ",236135Amara (excluding her knees and lower legs) standing against a white backgr
amara_full_body_0004.txt,changed,"Amara is kneeling on the ground, set against a white background. Both her hands ","236135Amara is kneeling on the ground, set against a white background. Both her "
amara_full_body_0009.txt,changed,"Amara (excluding her lower legs) is standing outdoors, with some wooden logs and","236135Amara (excluding her lower legs) is standing outdoors, with some wooden lo"
amara_full_body_0012.txt,changed,Amara is kneeling down on a white posidum in the middle of what looks to be an a,236135Amara is kneeling down on a white posidum in the middle of what looks to b
amara_full_body_0013.txt,changed,Amara is standing in the middle of a street (her knees and lower legs not visibl,236135Amara is standing in the middle of a street (her knees and lower legs not 
amara_full_body_0014.txt,changed,Amara is standing in the middle of a street in a city (her knees and lower legs ,236135Amara is standing in the middle of a street in a city (her knees and lower
amara_full_body_0016.txt,changed,"Amara is sitting on a stone bench (lower legs not visible), her body leaning to ","236135Amara is sitting on a stone bench (lower legs not visible), her body leani"
amara_full_body_0017.txt,changed,"Amara is on a fashion, her right hand on her waist and her left arm dangling bes","236135Amara is on a fashion, her right hand on her waist and her left arm dangli"
amara_full_body_0018.txt,changed,"Amara is standing on a rooftop, her right hand on her right-side waist. She is l","236135Amara is standing on a rooftop, her right hand on her right-side waist. Sh"
amara_full_body_0020.txt,changed,Amara on a rooftop - She loves rooftops! Amara's hands are playing with her hair,236135Amara on a rooftop - She loves rooftops! Amara's hands are playing with he
amara_full_body_0021.txt,changed,"Amara kneeling on a bed, her face tilted and turned slightly to her right. Amara","236135Amara kneeling on a bed, her face tilted and turned slightly to her right."
amara_full_body_0024.txt,changed,"Amara posing in the street, her left arm tucked nicely behind her left breast. A","236135Amara posing in the street, her left arm tucked nicely behind her left bre"
amara_full_body_0025.txt,changed,"Amara standing alone on a beach, her face tilted and turned slightly to her righ","236135Amara standing alone on a beach, her face tilted and turned slightly to he"
amara_full_body_0026.txt,changed,"Amara sitting cross-legged on the beach, her face turned slightly to her left si","236135Amara sitting cross-legged on the beach, her face turned slightly to her l"
amara_full_body_0028.txt,changed,"Amara in a single-piece / one-piece red swimsuit, her large breasts bulging the ","236135Amara in a single-piece / one-piece red swimsuit, her large breasts bulgin"
amara_full_body_0029.txt,changed,Amara wearing a mid-length pink nightie / dress (her knees and lower legs exclud,236135Amara wearing a mid-length pink nightie / dress (her knees and lower legs 
amara_full_body_0030.txt,changed,Amara in bondage rope (her lower thighs and lower legs excluded from the picture,236135Amara in bondage rope (her lower thighs and lower legs excluded from the p
amara_full_body_0031.txt,changed,Amara - Full-frontal view: Amara is standing in front of a white background. Thi,236135Amara - Full-frontal view: Amara is standing in front of a white backgroun
amara_full_body_0033.txt,changed,Amara's front-view: Amara smiling. Her body is default - This is how her body lo,236135Amara's front-view: Amara smiling. Her body is default - This is how her b
amara_full_body_0034.txt,changed,"Amara's left-front body: She has a sultry expression, and has a bedsheet draped ","236135Amara's left-front body: She has a sultry expression, and has a bedsheet d"
amara_full_body_0035.txt,changed,"Amara's upper body and face: She is smiling a little, and is wearing a black tan","236135Amara's upper body and face: She is smiling a little, and is wearing a bla"
amara_full_body_0037.txt,changed,Amara kneeling: Her expression is sultry. She is wearing a one-piece lingerie se,236135Amara kneeling: Her expression is sultry. She is wearing a one-piece linge
amara_full_body_0038.txt,changed,Amara kneeling on the bed. Her expression is sultry. Her body is default. Her va,236135Amara kneeling on the bed. Her expression is sultry. Her body is default. 
amara_full_body_0039.txt,changed,"Amara standing outdoors, smiling. Her body is default. Her vagina is almost clea","236135Amara standing outdoors, smiling. Her body is default. Her vagina is almos"
amara_full_body_0040.txt,changed,"Amara outdoors. She is wearing a dark blue jeans, and a pop-out bra made of jute","236135Amara outdoors. She is wearing a dark blue jeans, and a pop-out bra made o"
amara_full_body_0041.txt,changed,Amara standing outdoors. Her expression is mild sultry. This is her perfect defa,236135Amara standing outdoors. Her expression is mild sultry. This is her perfec
amara_full_body_0044.txt,changed,Amara with a very slight smirk. This is her default body: Gorgeous!,236135Amara with a very slight smirk. This is her default body: Gorgeous!
amara_full_body_0045.txt,changed,"Amara standing outdoors in the parking lot. Her expression is a mild, subtle smi","236135Amara standing outdoors in the parking lot. Her expression is a mild, subt"
amara_full_body_0046.txt,changed,Amara standing outdoors. A thin patterned cloth is draped over her shoulders.,236135Amara standing outdoors. A thin patterned cloth is draped over her shoulde
amara_full_body_0047.txt,changed,Amara: View from overhead high-angle.,236135Amara: View from overhead high-angle.
amara_full_body_0048.txt,changed,Amara standing outdoors. Her expression is a very slight smirk.,236135Amara standing outdoors. Her expression is a very slight smirk.
amara_full_body_0049.txt,changed,Amara sitting on a bench in a balcony. Her breasts are looking almost perfect. S,236135Amara sitting on a bench in a balcony. Her breasts are looking almost perf
amara_full_body_0050.txt,changed,"Amara on the deck of a ship, her hand on the railing. This is Amara's default bo","236135Amara on the deck of a ship, her hand on the railing. This is Amara's defa"
amara_full_body_0051.txt,changed,"Amara kneeling on a bed, her expression neutral, one hand on her left thigh - su","236135Amara kneeling on a bed, her expression neutral, one hand on her left thig"
amara_full_body_0052.txt,changed,Amara standing on a balcony overlooking the bay-area - Low-angle view. She has a,236135Amara standing on a balcony overlooking the bay-area - Low-angle view. She
amara_full_body_0053.txt,changed,Amara standing on a balcony overlooking the bay-area - Low-angle view. She has a,236135Amara standing on a balcony overlooking the bay-area - Low-angle view. She
amara_full_body_0054.txt,changed,"Amara kneedling on the floor - Low-angle view, a white semi-sheer garment draped","236135Amara kneedling on the floor - Low-angle view, a white semi-sheer garment "
amara_full_body_0056.txt,changed,"Amara standing outdoors, by the sea. Her expression a very slight smile.","236135Amara standing outdoors, by the sea. Her expression a very slight smile."
amara_full_body_0057.txt,changed,Amara making a pose while standing on a stone ledge. Her expression mildly amusi,236135Amara making a pose while standing on a stone ledge. Her expression mildly
amara_full_body_0058.txt,changed,"Amara sitting cross-legged on the bed, her expression mildly sultry.","236135Amara sitting cross-legged on the bed, her expression mildly sultry."
amara_full_body_0060.txt,changed,"Amara standing in the street, her left arm tucked behind her left breast.","236135Amara standing in the street, her left arm tucked behind her left breast."
amara_full_body_0061.txt,changed,Amara standing outdoors: View of her left-side. Amara's breasts looking good and,236135Amara standing outdoors: View of her left-side. Amara's breasts looking go
amara_full_body_0062.txt,changed,Amara with a very slight smirk. This is her default body: Gorgeous!,236135Amara with a very slight smirk. This is her default body: Gorgeous!
amara_full_body_0063.txt,changed,Amara kneeling in the wild. She is wearing a silver strap around her stomach.,236135Amara kneeling in the wild. She is wearing a silver strap around her stoma
amara_full_body_0064.txt,changed,Amara smiling lightly while outdoors.,236135Amara smiling lightly while outdoors.
amara_full_body_0065.txt,changed,Amara posing in the doorway with a slightly sultry expression. Her body looks pe,236135Amara posing in the doorway with a slightly sultry expression. Her body lo
amara_full_body_0066.txt,changed,"Amara wearing a hat and heels, and standing in a museum.","236135Amara wearing a hat and heels, and standing in a museum."
